"mRNAs identified in Ito et. al and analyzed by Pearson correlation: column headers show the transcript codes as identified by Ito et al. (Transcript accession); the names of the proteins as seen in Uniprot database (Protein name); gene names as seen in the Cyanobase (Gene names); the Uniprot accession numbers of all proteins (Uniprot Accession); the log2-mean-ratio normalized retrieved from GEO (GSE14225) from each time-point X (hours in LL) (LL.X); the Pearson correlation value (Pearson); the p-value for the significance of the Pearson correlation (p-value); the cluster number corresponding to each significant protein (Cluster nr); categorization of the protein corresponding to this mRNA, as cyclic (TRUE) and not-cyclic (FALSE), as determined by the Pearson correlation (Cyclic protein); the subjective phase, light (L) or dark (D), at which the mRNA profile shows a maximum abundance (Peak phase (subjective)); the phase, light (L) or dark (D), at which the protein profile shows a maximum abundance (Peak phase protein); the relationship between the mRNA peak phase and the protein peak phase, being in-phase (in), out of phase (out) or anti-phase (out (anti)); the delay between the maximum abundance observed at the mRNA level comparing to the maximum abundance at the protein level (delay (h)) (average delays account for different delays between the 2 days); the functional category at which the protein belongs to, based on the Cyanobase (Function category); the pathway to which the protein belongs, according to KEGG (KEGG); and the biological process in which the protein is involved, according to Gene Ontology (GO_BP).",,,,,,,,,,,,,,,,,,,,,,,,,,
(av) average delay based on 2 numbers,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcript accession,protein name,gene name,Accession,LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48,Pearson corr,p-value,Cluster nr,Cyclic protein,Peak phase (subjective),Peak phase protein,in/out phase,delay (h),Function category,KEGG,GO_BP
syc1956-m_at,UDP-glucose-beta-D-glucan glucosyltransferase  cellulose synthase catalytic subunit,Synpcc7942_2151,Q31L88,-0.00227469,0.61059174,-0.0220207,-0.31718805,-0.44397604,-0.62476353,0.2636963,0.60670517,-0.22310327,-0.26430698,-0.67397022,-0.29777695,0.86745126,0.0130,1,FALSE,-,-,-,-,-,-,-
syc1957-h_at,probable hydrolase,Synpcc7942_2150,Q31L89,-0.40773492,0.27832865,0.60355899,-0.17667064,-0.44210811,-0.39952885,-0.34671121,0.48833282,0.27811391,0.0802577,-0.51558343,-0.45682557,0.87584077,0.0110,1,FALSE,-,-,-,-,-,-,-
syc1960-h_at,hypothetical protein,Synpcc7942_2147,Q31L92,0.11901471,0.13256692,0.11175188,-0.09240925,-0.01193854,-0.02326658,-0.03277005,0.13668993,-0.01057469,-0.33414345,-0.27854211,-0.05489028,0.8529092,0.0171,1,FALSE,-,-,-,-,-,-,-
syc1962-m_at,hypothetical protein,Synpcc7942_2144,Q31L95,-0.15194329,0.03857913,0.16111017,-0.01379001,-0.22161609,-0.1423404,-0.03274841,0.1785953,0.25587308,-0.0864727,-0.26578801,-0.03898884,0.88553859,0.0088,1,FALSE,-,-,-,-,-,-,-
syc1963-h_at,tryptophan synthase beta subunit,Synpcc7942_2143,Q31L96,-0.11663038,-0.08684571,0.17474374,0.05930057,0.04589288,-0.00977382,-0.26720071,-0.12848116,0.16628848,0.09718403,-0.006926,0.08508457,0.88635601,0.0087,3,FALSE,-,-,-,-,-,-,-
syc1969-h_at,Uncharacterized protein,Synpcc7942_2138,Q31LA1,0.40677425,-0.00391085,-0.55288789,-0.16242608,0.01876688,0.06317858,0.07969386,-0.00356843,-0.50428113,-0.0495301,0.24353722,-0.08496951,0.77994161,0.0470,4,FALSE,-,-,-,-,-,-,-
syc1970-h_at,Magnesium protoporphyrin IX chelatase subunit H,Synpcc7942_2137,Q31LA2,0.03160486,-0.05022566,-0.30298873,-0.04744142,0.17822597,0.286956,0.13738643,-0.07388617,-0.41311403,-0.21903702,0.03952259,0.24533323,0.91183986,0.0044,2,FALSE,-,-,-,-,-,-,-
syc1971-m_at,dihydrodipicolinate reductase,Synpcc7942_2136,Q31LA3,-0.03764285,-0.32188957,-0.11318227,-0.02275432,0.18571789,0.19532424,-0.01875156,-0.30713246,-0.1411923,0.02607972,0.09771837,0.3328175,0.93835139,0.0016,6,FALSE,-,-,-,-,-,-,-
syc1973-m_at,N-acetylmuramoyl-L-alanine amidase,Synpcc7942_2134,Q31LA5,0.15863187,-0.15961452,-0.13859237,0.00482354,0.12982048,0.11181527,0.0784925,-0.19232142,-0.2848154,-0.1128844,-0.06152582,0.06536935,0.90725071,0.0050,2,FALSE,-,-,-,-,-,-,-
syc1975-h_at,MrsA protein homolog  phosphomannomutase,Synpcc7942_2132,Q31LA7,0.18462728,0.01656516,-0.35542002,0.00093417,-0.0413156,0.10776745,0.06434154,0.10375173,-0.26822327,-0.08866876,-0.03455282,0.16233343,0.87533296,0.0111,4,FALSE,-,-,-,-,-,-,-
syc1976-m_at,probable soluble lytic transglycosylase,Synpcc7942_2131,Q31LA8,0.08819959,-0.38914032,-0.22122377,0.2015381,0.24458205,-0.00818267,-0.03962709,-0.28538315,-0.17499818,0.04009796,0.18910643,0.21787747,0.80277496,0.0359,2,FALSE,-,-,-,-,-,-,-
syc1980-h_at,phycobilisome degradation protein,Synpcc7942_2127,P35087,-0.12802277,0.51591803,-0.05722817,-0.1859666,-0.28766489,-0.42846235,-0.11364522,0.72774268,-0.03867328,-0.10078233,-0.53888656,-0.44195649,0.97055375,0.0002,1,FALSE,-,-,-,-,-,-,-
syc1983-m_at,histone deacetylase family protein  acetylpolyamine aminohydolase,Synpcc7942_2124,Q31LB5,-0.10146921,-0.19459995,-0.14091656,0.00656972,0.16535234,0.09981288,-0.04679011,-0.15687737,-0.01279396,-0.03269236,0.09407471,0.16492425,0.86044384,0.0149,6,FALSE,-,-,-,-,-,-,-
syc1984-m_at,anthranilate phosphoribosyltransferase,Synpcc7942_2123,Q31LB6,0.06033699,-0.21274744,-0.05163037,0.02039881,0.10624537,0.03996269,-0.01334727,-0.2952968,-0.02957841,0.05768888,0.07978068,0.17492857,0.87834545,0.0104,6,TRUE,D,D,in,0,Amino acid transport and metabolism,"syc00400:Phenylalanine, tyrosine and tryptophan biosynthesis,syc02020:Two-component system,syf00400:Phenylalanine, tyrosine and tryptophan biosynthesis,syf02020:Two-component system,","GO:0000162~tryptophan biosynthetic process,GO:0006568~tryptophan metabolic process,GO:0006575~cellular amino acid derivative metabolic process,GO:0006576~biogenic amine metabolic process,GO:0006586~indolalkylamine metabolic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009072~aromatic amino acid family metabolic process,GO:0009073~aromatic amino acid family biosynthetic process,GO:0009309~amine biosynthetic process,GO:0016053~organic acid biosynthetic process,GO:0018130~heterocycle biosynthetic process,GO:0019438~aromatic compound biosynthetic process,GO:0042398~cellular amino acid derivative biosynthetic process,GO:0042401~biogenic amine biosynthetic process,GO:0042430~indole and derivative metabolic process,GO:0042434~indole derivative metabolic process,GO:0042435~indole derivative biosynthetic process,GO:0043648~dicarboxylic acid metabolic process,GO:0044271~nitrogen compound biosynthetic process,GO:0046219~indolalkylamine biosynthetic process,GO:0046394~carboxylic acid biosynthetic process,GO:0046417~chorismate metabolic process,"
syc1985-m_at,carbamoyl-phosphate synthase small chain,Synpcc7942_2122,Q31LB7,-0.14024073,-0.33160347,-0.09438652,0.15067604,0.26369989,0.18454704,-0.00964803,-0.29533418,-0.11236725,0.08771335,0.18608633,0.09332373,0.95022681,0.0009,6,FALSE,-,-,-,-,-,-,-
syc1986-m_at,similar to anti-sigma f factor antagonist,Synpcc7942_2121,Q31LB8,0.14886971,0.11421896,-0.07976809,0.01796292,0.03265326,-0.02058276,0.1746665,0.09314904,-0.30382107,-0.06253223,0.00460832,-0.30228526,0.94651871,0.0011,4,FALSE,-,-,-,-,-,-,-
syc1989-m_at,hypothetical protein,Synpcc7942_2118,Q31LC1,0.095942,0.21357757,0.02618289,-0.10394333,-0.22039956,-0.25544173,0.01969325,0.22182331,0.07879777,-0.0306152,-0.3276312,-0.16208419,0.90481434,0.0054,1,FALSE,-,-,-,-,-,-,-
syc1993-m_at,hypothetical protein,Synpcc7942_2115,Q31LC4,-0.89720378,0.0820081,0.83729979,-0.30602271,-1.03986035,-0.70692406,-0.52118263,0.54757975,1.06246816,0.12482299,-1.61095422,-0.44414848,0.92610774,0.0027,1,FALSE,-,-,-,-,-,-,-
syc1997-h_at,glucokinase  xylose repressor    transcription factor ROK family,Synpcc7942_2111,Q31LC8,0.19201852,-0.35556155,-0.35544696,0.07190416,0.14972116,0.20634391,0.0883664,-0.31768764,-0.25048358,-0.08660811,0.046786,0.21757555,0.94051302,0.0015,2,FALSE,-,-,-,-,-,-,-
syc1999-h_at,ATP-binding protein of ABC transporter,Synpcc7942_2109,Q31LD0,-0.27771071,-0.21034763,0.213068,-0.1096496,-0.06548783,-0.10858264,-0.12284687,-0.08959274,0.3970442,0.08911247,-0.04195262,0.14234817,0.91628875,0.0038,3,TRUE,L/D,D,out,4 (av),Defense mechanisms,"IPR001140:ABC transporter, transmembrane region,IPR003439:ABC transporter-like,IPR003593:ATPase, AAA+ type, core,IPR017871:ABC transporter, conserved site,IPR017940:ABC transporter integral membrane type 1,",0
syc2001-m_at,Uncharacterized protein,syc1985_d,Q5N0J5,0.68253003,-0.55617118,-0.66087028,-0.07161031,0.11559065,0.1741394,0.16899557,-0.77003628,-0.63920195,-0.12828167,0.17572621,0.29588848,0.88282215,0.0094,2,FALSE,-,-,-,-,-,-,-
syc2002-m_at,putative cyanate ABC transporter substrate-binding protein,Synpcc7942_2107,Q31LD2,0.61498066,-0.67960897,-0.64055868,-0.10678796,0.19495708,0.07373579,0.05363962,-0.49005257,-0.29249543,-0.05162598,0.2853636,0.27720557,0.79104101,0.0414,2,FALSE,-,-,-,-,-,-,-
syc2006-m_at,0,Synpcc7942_2103,Q31LD6,-0.26379529,0.6773043,0.40883125,-0.22021288,-0.65225539,-0.79109605,-0.25465721,0.55798149,0.40197191,0.03802683,-0.70228562,-0.71929868,0.97529544,0.0001,1,FALSE,-,-,-,-,-,-,-
syc2014-h_at,0,Synpcc7942_2095,Q31LE4,0.40318886,-0.2793637,-0.15313949,0.01605241,0.16848458,0.17441327,0.06141588,-0.28968207,-0.46953368,-0.16861141,-0.03704941,0.06331911,0.86340764,0.0141,2,FALSE,-,-,-,-,-,-,-
syc2019-h_at,homoserine dehydrogenase,Synpcc7942_2090,Q31LE9,0.01305374,-0.38845333,-0.14138254,0.04731082,0.17437566,0.0958261,-0.09619033,-0.32226404,-0.05528757,0.08790094,0.20045314,0.30603319,0.88980954,0.0080,6,FALSE,-,-,-,-,-,-,-
syc2020-m_at,hypothetical protein,Synpcc7942_2089,Q31LF0,0.14165764,-0.08244635,-0.26123605,-0.14720081,0.15910591,0.14175355,0.16230867,-0.04661022,-0.33038232,-0.1844803,-0.12223717,0.18031111,0.79908396,0.0376,2,FALSE,-,-,-,-,-,-,-
syc2021-h_at,Uncharacterized protein,Synpcc7942_2088,Q31LF1,-0.54206391,0.33623172,0.53239856,-0.03353007,-0.52578583,-0.505798,-0.61937298,0.37116844,0.67335156,0.22735794,-0.87126157,-0.37425262,0.95289153,0.0008,1,FALSE,-,-,-,-,-,-,-
syc2023-m_at,hypothetical protein,Synpcc7942_2086,Q31LF3,0.29913836,-0.25828439,-0.0760348,0.12434955,0.19765027,0.14439948,0.0211104,-0.4494426,-0.27361902,0.03692236,0.14736617,-0.18133816,0.88157333,0.0097,2,FALSE,-,-,-,-,-,-,-
syc2024-m_at,probable anion transporting ATPase,Synpcc7942_2085,Q31LF4,0.21185976,-0.43666767,-0.07612316,-0.09900581,0.05803584,0.12718677,0.094821,-0.38073953,-0.02293958,-0.02063092,-0.03225556,0.27949861,0.89231152,0.0075,6,FALSE,-,-,-,-,-,-,-
syc2025-m_at,chlorophyll a synthase,Synpcc7942_2084,Q31LF5,0.23840136,-0.34794381,-0.12539932,-0.1679066,0.22903566,0.28472701,0.04794347,-0.50885813,-0.18701679,-0.15749282,-0.05357402,0.32234116,0.89491525,0.0070,2,FALSE,-,-,-,-,-,-,-
syc2027-m_at,elongation factor EF-G,Synpcc7942_2082,Q31LF7,-1.38589587,0.94922036,0.99247203,-0.2708408,-1.84958683,-2.05485545,-1.36916802,0.84966492,1.02688383,0.33255149,-1.58122583,-1.49381308,0.97873898,0.0001,1,TRUE,L/D,D,out (anti),8.5 (av),Translation,0,0
syc2029-h_at,probable phosphoketolase 1,Synpcc7942_2080,Q31LF9,-0.90732591,0.53917522,0.74205786,-0.22873403,-0.51867592,-0.71454734,-0.57738311,0.55780752,0.63329759,0.01374348,-0.68784457,-0.44666114,0.9554911,0.0006,1,FALSE,-,-,-,-,-,-,-
syc2030-m_at,acetate kinase,Synpcc7942_2079,Q31LG0,-0.74454015,0.46389781,0.57148877,-0.35104858,-0.71728193,-0.68069958,-0.62017316,0.63652344,0.97606544,-0.11247357,-0.71481543,-0.67797871,0.99135033,0.0000,1,FALSE,-,-,-,-,-,-,-
syc2031-m_at,phosphoglycerate mutase,Synpcc7942_2078,Q31LG1,-0.55126734,0.74077246,0.85113618,-0.69381266,-0.99816108,-0.81990139,-0.93671668,0.77642472,0.91400813,-0.29616225,-1.11724695,-0.99963391,0.95910212,0.0005,1,FALSE,-,-,-,-,-,-,-
syc2035-h_at,DnaJ protein,Synpcc7942_2074,Q31LG5,-0.13621013,-0.09304595,0.01582278,-0.01167858,0.03400259,0.07148759,-0.05464198,-0.1269494,0.01408955,-0.0108402,-0.00352196,0.21329995,0.78313198,0.0454,6,FALSE,-,-,-,-,-,-,-
syc2037-h_at,heat shock protein GrpE,Synpcc7942_2072,Q59984,0.29159171,0.03130542,-0.11496559,-0.03447489,-0.03820536,0.06662002,0.23777746,-0.01252489,-0.18374139,-0.24085757,-0.08905615,-0.14733785,0.88310505,0.0093,4,FALSE,-,-,-,-,-,-,-
syc2038-m_at,type IV pilus assembly protein PilB  general secretion pathway protein E,Synpcc7942_2071,Q31LG8,-0.03570884,0.19286562,0.02000688,-0.02441549,-0.06379523,-0.10202732,0.06502082,0.22097182,-0.02520395,-0.101984,-0.2060361,-0.09794446,0.83543044,0.0228,1,FALSE,-,-,-,-,-,-,-
syc2039-m_at,twitching motility protein PilT,Synpcc7942_2070,Q31LG9,0.10146568,0.24219197,-0.07799375,-0.06174753,-0.09913496,-0.1712992,0.06149556,0.22685446,-0.04764424,-0.10805847,-0.20976762,-0.09271602,0.90807711,0.0049,1,FALSE,-,-,-,-,-,-,-
syc2040-m_at,type IV pilus assembly protein PilC,Synpcc7942_2069,Q31LH0,0.15225823,0.23510556,-0.02944185,-0.06536671,-0.12160794,-0.21955051,0.08906796,0.30300391,-0.09784445,-0.16617752,-0.24546397,-0.23924572,0.96414671,0.0003,1,FALSE,-,-,-,-,-,-,-
syc2045-h_at,phenylalanyl-tRNA synthetase alpha chain,Synpcc7942_2064,Q31LH5,0.10100576,-0.27423494,-0.04173165,0.19910479,0.15773578,0.21671055,-0.11927617,-0.45568583,-0.39705849,0.12422683,0.06811871,0.19735658,0.93215714,0.0021,2,FALSE,-,-,-,-,-,-,-
syc2046-m_at,acid phosphatase  stationary-phase survival protein SurE homolog,Synpcc7942_2063,Q31LH6,-0.10231729,-0.26164056,-0.05790864,0.07428953,0.18457318,0.10262244,-0.05661308,-0.35637375,0.02876711,0.13139679,0.09573642,0.22149018,0.89968431,0.0062,6,FALSE,-,-,-,-,-,-,-
syc2048-m_at,PII interaction protein X,Synpcc7942_2061,Q7X386,0.17391523,-0.23332876,-0.16159656,0.10946969,0.10692453,0.0849186,0.04913556,-0.16927335,-0.25856496,-0.02803844,-0.03224003,0.10220929,0.85245517,0.0172,2,FALSE,-,-,-,-,-,-,-
syc2049-m_at,hypothetical protein,Synpcc7942_2060,Q31LH9,0.062398,-0.08135844,-0.27170764,0.0432623,0.12813695,0.28136129,-0.02769619,-0.2292308,-0.2915802,-0.03667323,0.09592715,0.13079532,0.9574345,0.0006,2,FALSE,-,-,-,-,-,-,-
syc2050-m_at,hypothetical protein,Synpcc7942_2059,Q31LI0,0.15644775,0.29527317,-0.18342915,-0.02610716,-0.10472444,-0.1691074,0.1499052,0.30339683,-0.24286329,-0.03882595,-0.01292802,-0.24883554,0.9641378,0.0003,4,FALSE,-,-,-,-,-,-,-
syc2051-m_at,pyrroline-5-carboxylate reductase,Synpcc7942_2058,Q31LI1,0.17904922,-0.51108502,-0.13343917,0.00350645,0.00028074,0.10939068,0.0867384,-0.39577176,-0.19167526,-0.05486047,0.18886589,0.29232103,0.86520555,0.0136,2,FALSE,-,-,-,-,-,-,-
syc2052-h_at,hypothetical protein,Synpcc7942_2057,Q31LI2,0.23696136,-0.32627917,-0.34530008,0.01772157,0.13783102,0.13136557,0.03009376,-0.26951371,-0.29829672,-0.00922075,0.19256691,0.19930689,0.90669046,0.0051,2,FALSE,-,-,-,-,-,-,-
syc2053-h_at,hypothetical protein,Synpcc7942_2056,Q31LI3,0.26203252,-0.01721675,-0.38297378,-0.10252001,0.04647376,-0.05188985,0.12627982,0.06922416,-0.19789111,-0.13383029,0.10830441,-0.02399361,0.89212009,0.0075,4,FALSE,-,-,-,-,-,-,-
syc2056-h_at,probable peptidase,Synpcc7942_2053,Q31LI6,-0.24121643,-0.12479428,0.43541871,-0.15261678,-0.10457674,-0.07798291,-0.37964664,-0.02327966,0.49828912,0.07085268,-0.33267537,0.00045885,0.85520351,0.0164,3,FALSE,-,-,-,-,-,-,-
syc2057-m_at,peptide ABC transporter permease protein,Synpcc7942_2052,Q31LI7,0.14553249,-0.27044445,-0.19050168,0.15007485,-0.16918535,0.1262995,0.09210918,-0.21600255,-0.0557335,0.06901521,-0.06013177,0.2146442,0.89949438,0.0062,2,FALSE,-,-,-,-,-,-,-
syc2059-h_at,hypothetical protein,Synpcc7942_2050,Q31LI9,-0.13828304,-0.22265256,0.08707369,-0.04362992,-0.00482967,0.0740581,-0.09953191,-0.13294429,0.16603111,0.04209835,-0.01360085,0.25324002,0.91701166,0.0037,6,FALSE,-,-,-,-,-,-,-
syc2067-m_at,Uncharacterized protein,Synpcc7942_2042,Q31LJ7,-0.29013412,-0.36754378,0.30235038,0.27522538,-0.10187715,-0.09122006,-0.09761488,-0.13892864,0.18140887,0.36536284,-0.19414739,-0.02131718,0.86436634,0.0138,3,FALSE,-,-,-,-,-,-,-
syc2068-h_at,Uncharacterized protein,syc2052_c,Q5N0C8,0.12749266,-0.61717143,-0.04944922,0.21032836,-0.03864301,0.0727255,0.03317814,-0.27378049,-0.18084034,0.15982177,0.15031682,0.21404801,0.77879416,0.0476,6,FALSE,-,-,-,-,-,-,-
syc2069-h_at,virulence factor MviN homolog.,Synpcc7942_2041,Q31LJ8,0.34597485,-0.28670148,-0.18271407,0.16034657,0.07550401,0.01070325,0.22981379,-0.22606851,-0.34487925,-0.08561366,0.05451067,0.09649522,0.82947957,0.0250,2,FALSE,-,-,-,-,-,-,-
syc2070-m_at,sugar fermentation stimulation protein  Transcription factor SfsA family,Synpcc7942_2040,Q31LJ9,0.46251339,-0.5216072,-0.12386794,-0.04497394,0.19686095,0.11589577,0.1315141,-0.44448875,-0.48678647,-0.09600695,0.24363299,0.2071774,0.80330389,0.0357,2,FALSE,-,-,-,-,-,-,-
syc2072-m_at,transcription regulator CRO/Cl type-3 family,Synpcc7942_2038,Q31LK1,0.19678545,-0.2640167,-0.179175,0.12000221,0.17209638,0.09603994,0.03668232,-0.33836074,-0.33992841,0.0475528,0.19148193,0.08810323,0.94989584,0.0009,2,FALSE,-,-,-,-,-,-,-
syc2075-m_at,Uncharacterized protein,Synpcc7942_2035,Q31LK4,-0.10962104,0.10303651,-0.02512213,-0.02386037,-0.02950155,-0.05370427,-0.03939538,0.33304903,0.00137811,-0.07115075,-0.04515683,0.0519009,0.84017918,0.0212,1,FALSE,-,-,-,-,-,-,-
syc2077-h_at,"hypothetical protein, similar to glycosyl transferase",Synpcc7942_2034,Q31LK5,0.40191952,-0.04437629,-0.46800028,0.01538323,-0.01890937,0.10343195,0.19173052,-0.03911392,-0.64397047,-0.15102371,0.05833634,0.02849115,0.92185447,0.0031,4,FALSE,-,-,-,-,-,-,-
syc2078-h_at,hypothetical protein,Synpcc7942_2033,Q31LK6,0.49897623,-0.13458348,-0.60776603,-0.21549065,0.21167249,0.1780975,0.23589155,-0.18302473,-0.47047081,-0.14393382,-0.1760143,0.15613624,0.88537192,0.0089,2,FALSE,-,-,-,-,-,-,-
syc2079-h_at,multidrug-efflux transporter  quinolene resistance protein NorA,Synpcc7942_2032,Q31LK7,0.39855796,-0.56469067,-0.36437005,-0.08125682,0.10905293,0.15883968,0.24288965,-0.39248418,-0.35020689,-0.180015,0.1392746,0.40235932,0.90343241,0.0056,2,FALSE,-,-,-,-,-,-,-
syc2080-m_at,hypothetical protein,Synpcc7942_2031,Q31LK8,0.00102407,-0.25058109,0.08516038,0.12665144,0.15790994,0.04833936,-0.07005584,-0.27793869,0.06156944,-0.01679692,0.02879862,0.05269539,0.9133482,0.0042,6,FALSE,-,-,-,-,-,-,-
syc2081-m_at,"phycobilisome rod-core linker polypeptide Lrc, C-phycocyanin associated",Synpcc7942_2030,Q31LK9,0.10093903,-0.04901508,-0.16183208,-0.03743728,0.03460136,0.07462701,0.10599805,-0.07738636,-0.13292933,-0.06009802,0.11150621,0.08932252,0.93602285,0.0018,2,FALSE,-,-,-,-,-,-,-
syc2082-h_at,glucose-6-phosphate isomerase,Synpcc7942_2029,Q31LL0,-0.48957994,0.52927243,0.61821464,-0.13263707,-0.50586425,-0.68020201,-0.48004693,0.61260046,0.5628858,0.01251704,-0.76320883,-0.61885054,0.97266697,0.0002,1,FALSE,-,-,-,-,-,-,-
syc2084-h_at,probable glycosly transferase,Synpcc7942_2027,Q31LL2,0.19539538,-0.05181962,-0.01957413,0.06588569,-0.07403632,0.07420822,0.0292008,-0.24985108,-0.02184107,0.02442043,-0.32800478,-0.00355115,0.79227002,0.0408,5,FALSE,-,-,-,-,-,-,-
syc2089-m_at,N utilization substance protein A   transcription termination-antitermination factor,Synpcc7942_2022,Q31LL7,-0.55860381,-0.02369691,0.37537184,0.02908214,-0.15356632,-0.19507863,-0.15976548,0.2103699,0.31971551,0.15667175,-0.16272571,-0.15033946,0.84310972,0.0202,3,FALSE,-,-,-,-,-,-,-
syc2090-m_at,conserved hypothetical protein; conserved gene cluster,Synpcc7942_2021,Q31LL8,-0.76672208,-0.04427304,0.38555399,0.00748916,-0.32967727,-0.32007614,-0.13475575,0.33871155,0.56824159,0.11884693,-0.28530594,-0.13549694,0.83213472,0.0240,3,FALSE,-,-,-,-,-,-,-
syc2099-h_at,similar to stage II sporulation protein D,Synpcc7942_2012,Q31LM7,0.16886062,0.28207755,-0.20185556,0.04697625,-0.31357312,-0.31661038,0.05533596,0.44582575,-0.29234903,0.15721027,-0.26148626,-0.24458414,0.92857755,0.0024,4,FALSE,-,-,-,-,-,-,-
syc2101-m_at,cytochrome c550,Synpcc7942_2010,Q31LM9,0.25747307,-0.10700568,-0.2494888,-0.01195871,0.08553365,0.14918477,0.16021751,-0.21476008,-0.29294949,-0.10830462,0.0934515,0.08798235,0.97185261,0.0002,2,FALSE,-,-,-,-,-,-,-
syc2107-h_at,group 3 RNA polymerase ECF-type sigma factor,Synpcc7942_2004,Q31LN5,-0.04787695,-0.32957916,-0.06660192,0.09524373,0.09923271,0.05949248,0.01749341,-0.29945256,0.09580517,0.11093572,-0.05257867,0.15695105,0.79199548,0.0410,6,FALSE,-,-,-,-,-,-,-
syc2108-h_at,Uncharacterized protein,Synpcc7942_2003,Q31LN6,-0.37397054,-0.61004259,-0.1905326,-0.03251929,0.33406139,0.48177654,-0.26718555,-0.59165476,0.11788779,0.02067265,-0.00470375,0.64435868,0.86332715,0.0141,6,FALSE,-,-,-,-,-,-,-
syc2109-h_at,Uncharacterized protein,Synpcc7942_2002,Q31LN7,-0.54194508,0.43298951,0.54896753,-0.28035552,-0.56324994,-0.60034831,-0.77989001,0.55280843,0.78705135,0.20081598,-0.68096033,-0.34904972,0.9243657,0.0029,1,FALSE,-,-,-,-,-,-,-
syc2113-m_at,RRM-type RNA-binding protein,Synpcc7942_1999,Q31LP0,0.2863057,0.13724557,-0.0123998,-0.05220782,-0.16260117,-0.07974084,0.18039875,0.08637195,-0.07710211,-0.07272605,-0.16796456,-0.27659041,0.91083554,0.0045,4,TRUE,L,L,in,0,General function prediction only,0,0
syc2114-h_at,hypothetical protein,Synpcc7942_1998,Q31LP1,0.38299952,0.13390238,-0.188913,-0.08513404,-0.22676598,-0.28420351,0.09820251,0.10574807,-0.07990498,0.06477801,-0.05956073,-0.2259343,0.80995455,0.0328,4,FALSE,-,-,-,-,-,-,-
syc2116-m_at,Uncharacterized protein,Synpcc7942_1996,Q31LP3,0.06464932,-0.22045461,-0.08457941,0.06952213,0.22411139,0.13757704,-0.02637572,-0.20481803,-0.13598527,0.06810173,0.24149302,-0.00569332,0.91561609,0.0039,2,TRUE,D,L,out,6.5,putative uncharacterized,putative uncharacterized,0
syc2120-m_at,probable translation initiation factor eIF-2B alpha subunit,Synpcc7942_1992,Q31LP7,-0.16835155,-0.36378303,0.01147691,0.04691078,0.02429262,0.04650836,0.01957215,-0.48416828,0.25794308,0.03203759,0.26302245,0.11516751,0.88543645,0.0089,6,FALSE,-,-,-,-,-,-,-
syc2121-m_at,hypothetical protein,Synpcc7942_1991,Q31LP8,-0.0325073,0.64437987,0.5699093,-0.23929544,-0.88832158,-1.08446095,-0.5461757,0.58556207,0.62490465,0.06988924,-0.93512077,-0.90940039,0.92236225,0.0031,1,FALSE,-,-,-,-,-,-,-
syc2124-m_at,hypothetical protein,Synpcc7942_1988,Q31LQ1,0.4378989,-0.4396227,-0.24126945,0.14122952,0.06606602,0.13591647,0.10409788,-0.59983284,-0.55288992,-0.04025591,0.22353711,0.22659349,0.84034753,0.0211,2,FALSE,-,-,-,-,-,-,-
syc2125-h_at,hypothetical protein,Synpcc7942_1987,Q31LQ2,0.02006617,0.41705584,0.23352073,-0.25093727,-0.46816649,-0.37125512,0.11129831,0.4062004,0.1245623,-0.08732336,-0.62025365,-0.33229304,0.9451094,0.0012,1,FALSE,-,-,-,-,-,-,-
syc2129-h_at,phytoene dehydrogenase (phytoene desaturase),Synpcc7942_1983,P26294,-0.12843634,-0.25690606,0.04129162,0.22963762,0.07049261,-0.11985123,-0.31268026,-0.40457847,0.1242907,0.32500055,0.26555535,0.09331991,0.88471059,0.0090,6,FALSE,-,-,-,-,-,-,-
syc2132-h_at,LysR family transcriptional regulator,Synpcc7942_1980,Q99QJ5,-0.31219648,-0.01778528,0.06958041,-0.03372809,0.03958362,-0.01012557,-0.21197,-0.08420903,0.16918064,0.0540866,0.1175915,0.22833965,0.81148949,0.0321,3,FALSE,-,-,-,-,-,-,-
syc2134-m_at,Trx (thioredoxin m),Synpcc7942_1978,Q9ALA7,0.06534732,0.32220606,-0.12560235,0.0750446,-0.22199074,-0.34085337,-0.01433903,0.28923721,0.01532829,0.04184842,-0.30339774,-0.18499117,0.89296564,0.0074,1,FALSE,-,-,-,-,-,-,-
syc2136-m_at,NADH dehydrogenase subunit 4,Synpcc7942_1976,Q31LR3,-0.36996401,0.38940178,0.43451231,-0.39350337,-0.62267151,-0.44473552,-0.06619508,0.57763651,0.42742035,-0.19895769,-0.64658845,-0.19708343,0.95577041,0.0006,1,FALSE,-,-,-,-,-,-,-
syc2142-h_at,hypothetical protein,Synpcc7942_1969,Q31LS0,-0.08153084,-0.32561975,-0.10003076,0.08349173,0.22046999,0.12969013,-0.14046804,-0.40768254,-0.10063235,0.13606276,0.42323504,0.15489629,0.9834071,0.0000,6,FALSE,-,-,-,-,-,-,-
