Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	default.pvalue
Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated protein B	Snrpn;Snrpb	P63163;P27048	1415895_at	0.0949182459172601
40S ribosomal protein S4, X isoform	Rps4x	P62702;Q545F8	1416276_a_at	0.0930189472828526
Eukaryotic translation initiation factor 3 subunit K	Eif3k	Q9DBZ5;Q3TY56;Q9DBZ5-2	1452674_a_at	0.028264859499081
ATP synthase subunit d, mitochondrial	Atp5h;Gm10250	Q9DCX2;G3X9L6;B1ASE2;D3Z1B2	1423676_at	0.269307145873046
C-type lectin domain family 4 member G	Clec4g	Q8BNX1;F6T066	1427428_at	0.0030289780058193
40S ribosomal protein S2	Gm8841;Rps2;Gm6139;Rps2-ps6;Rps2-ps5;Gm6576	E9PV46;P25444;D3YWJ3;D3YWA0;D3YVC1;D3Z659;E9Q1N8;F6YTZ4;D3Z536	1422156_a_at	0.670717740805612
Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2;Polyubiquitin-B;Ubiquitin;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40	Rps27a;Ubc;Ubb;2810422J05Rik;Uba52	P62983;P0CG50;Q8VC46;Q922Z8;P0CG49;Q5SX22;E9QNP0;E9Q5F6;E9Q4P0;E9Q0Z8;P62984;E9Q9J0;F6X7C4;D3YYZ2	1428180_at	0.000517000849878816
Leukocyte elastase inhibitor A	Serpinb1a	Q9D154	1416318_at	7.89011423572469e-07
Dual specificity protein phosphatase 3	Dusp3	B1AQF4;Q9D7X3	1456769_at	0.00657535699807086
Translation initiation factor IF-2, mitochondrial	Mtif2	Q91YJ5;Q5M6W7;E9Q054;F6RR02;Q5M6W8	1415685_at	7.69953885849792e-07
E3 ubiquitin-protein ligase ZNRF2	Znrf2	Q71FD5	1434017_at	6.88757578911704e-07
Glycerol-3-phosphate dehydrogenase, mitochondrial	Gpd2	A2AQR0;Q64521	1417434_at	1.19186067528861e-06
Tetratricopeptide repeat protein 38	Ttc38	A3KMP2;A3KMP2-2;D6RH59	1437269_at	0.0526014272671965
5-formyltetrahydrofolate cyclo-ligase	Mthfs	Q9D110;D3YTV6;D3Z0T4;F6Q785;B2KF83;D3YX55	1460257_a_at	0.0160952377549713
	Nbas	E9Q411	1436143_at	0.00994131746012152
	Utrn	E9Q6R7;Q61636;E9Q916;Q3TR59	1452222_at	7.93140387444073e-07
Protein SCAF8	Scaf8	F6WUK6;Q6DID3;Q3TBS5	1455310_at	7.15842301666574e-07
Integrin alpha-1	Itga1	F8VQN5;Q3V3R4;Q3URV2	1439713_at	0.518601612279388
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	Ndufa11	G5E814;Q9D8B4	1429708_at	3.64264892647144e-05
Flotillin-1	Flot1	O08917;G3UYU4;G3UWW8;G3UZZ5;G3XA73	1448559_at	7.6820510574038e-07
Calumenin	Calu	O35887;G3UWR0;G3V004;G3UWV3;G3UY49;G3UXA8;G3UXA3	1415870_at	0.410290635003501
Tyrosine-protein kinase CSK	Csk	P41241;E9QJV6;P41242-2;P41242;D3Z4T5;P41242-3;D6RGA0;D3YVQ8	1423518_at	0.572736465438032
Ras-related protein Rab-4A	Rab4a	Q3TSQ6;P56371	1449048_s_at	0.00322153664178189
Myotrophin	Mtpn	P62774	1420474_at	0.000551019227143754
GTP-binding nuclear protein Ran	Ran	P62827;Q61820	1438977_x_at	7.98243689327378e-07
ELAV-like protein 1	Elavl1	P70372	1448151_at	9.16198610877541e-07
Platelet glycoprotein 4	Cd36	Q08857	1450883_a_at	0.324229646764262
Heterochromatin protein 1-binding protein 3	Hp1bp3	Q3TEA8;Q3TEA8-2;Q3TEA8-3;A2AM65;A2AM63;A2AM62;A2AM70;A2AM69	1415751_at	0.00614307711227682
Enoyl-CoA hydratase domain-containing protein 2, mitochondrial	Echdc2	Q3TLP5;Q3TLP5-2;E9QKF1;F6YTG0;Q3TLP5-3;F6Z5N5;E0CXC8	1425788_a_at	0.008421356015794
Peroxisome biogenesis factor 1	Pex1	Q5BL07;Q5BL07-2;F6RUH9;F7CF88	1428716_at	0.0354056060939456
Proteasome subunit beta type-6	Psmb6	Q60692	1448822_at	0.0870610963135016
Osteoclast-stimulating factor 1	Ostf1	Q62422	1452246_at	0.00204312638091949
Kynurenine--oxoglutarate transaminase 1	Ccbl1	Q8BTY1;A2AQY9;A2AQY8	1446302_at	5.83275871126807e-07
Eukaryotic peptide chain release factor subunit 1	Etf1	Q8BWY3	1420024_s_at	7.67745932214426e-07
Aflatoxin B1 aldehyde reductase member 2	Akr7a2	Q8CG76	1458300_at	0.0587258882493892
SPRY domain-containing protein 4	Spryd4	Q91WK1	1452076_at	0.301424222701736
GMP reductase 2	Gmpr2	Q99L27	1416356_at	5.30669602428564e-05
Translation initiation factor eIF-2B subunit beta	Eif2b2	Q99LD9;D3Z487;D3Z7J6	1437428_x_at	0.127524773816241
Actin-related protein 2/3 complex subunit 2	Arpc2	Q9CVB6;D3YXG6	1437148_at	0.00283152842372581
Protein FAM54B	Fam54b	Q9CWE0;D3YW54;D3Z0X8;D6RCX5;Q9CWE0-2	1426374_at	6.43395885680241e-07
Mitochondrial-processing peptidase subunit alpha	Pmpca	Q9DC61;A2AIW9	1424662_at	1.22354951597029e-06
Nuclear pore membrane glycoprotein 210	Nup210	Q9QY81;Q8BPS7	1443310_at	0.311687226837253
Cullin-1	Cul1	Q9WTX6;Q3TPM3;D3Z2H3	1448174_at	0.00189130626621652
Tartrate-resistant acid phosphatase type 5	Acp5	Q05117	1431609_a_at	0.0830336577809115
Mitochondrial import inner membrane translocase subunit Tim17-A	Timm17a	Q9Z0V8;D3Z1Z0	1426256_at	0.00311302265752447
Craniofacial development protein 1	Cfdp1	O88271	1416742_at	0.647768109361294
40S ribosomal protein S29	Rps29;Gm10126	P62274;D3YYL7	1438859_x_at	0.189733484167799
Mitofusin-2	Mfn2	Q80U63;Q80U63-2;A8Y5E5;A2A7Y8	1448131_at	0.0398872606974289
Probable asparagine--tRNA ligase, mitochondrial	Nars2	Q8BGV0;D3YV21	1433839_at	6.62255843537226e-07
Oxysterol-binding protein-related protein 2	Osbpl2	Q8BX94	1451974_at	0.137598332120105
Dynactin subunit 4	Dctn4	Q8CBY8;Q8CBY8-2;Q3TRR2	1420862_at	0.0327005916085626
Adrenodoxin-like protein, mitochondrial	Fdx1l	Q9CPW2;Q9CPW2-2	1430293_a_at	0.0733821321474729
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	Ndufv2	Q9D6J6;Q9D6J6-2	1438159_x_at	0.0145427487505471
Cysteine protease ATG4B	Atg4b	E9PVR8;Q8BGE6	1424103_at	0.292000640767043
Myotubularin-related protein 10	Mtmr10	Q7TPM9	1452288_at	0.0190144930680804
Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10	Casp1	P29452	1449265_at	0.0183452837171983
Nucleolar GTP-binding protein 2	Gnl2	Q99LH1	1426579_at	1.16111978551899e-06
Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	Cox4i1	P19783;D6RG40	1448322_a_at	0.337906251720467
28S ribosomal protein S28, mitochondrial	Mrps28	Q9CY16	1452585_at	0.0349923671345059
GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase	H6pd	A2A7A7;Q8CFX1;A2A7A8	1452145_at	7.73574136297267e-07
Beta-centractin	Actr1b	Q8R5C5;E0CYB4;E0CZD4	1447292_at	0.221907679204158
Fatty acid-binding protein, intestinal	Fabp2	P55050	1418438_at	0.448079899900788
	Upf2	A2AT37	1435030_at	0.244966316965673
Terminal uridylyltransferase 7	Zcchc6	Q5BLK4;E9PUA2	1433910_at	0.00183650044644032
Alsin	Als2	G5E868;Q920R0;Q920R0-2	1417783_at	8.00779628398372e-07
Golgi resident protein GCP60	Acbd3	Q8BMP6	1452137_at	0.0266120243713211
Retinol dehydrogenase 13	Rdh13	Q8CEE7;D3YVJ8	1433799_at	6.68686814653003e-07
39S ribosomal protein L44, mitochondrial	Mrpl44	Q9CY73;Q9CY73-2	1452144_a_at	1.07437032933563e-06
Loss of heterozygosity 12 chromosomal region 1 protein homolog	Loh12cr1	E9Q2W8;Q9D920	1451918_a_at	0.0119352665932757
Vascular endothelial growth factor receptor 2	Kdr	P35918;E9QJW8;Q8VCD0;P35918-2	1449379_at	0.247875854169898
Angiopoietin-related protein 3	Angptl3	Q9R182	1424485_at	0.46942802245106
Hippocalcin-like protein 1	Hpcal1	P62748	1448812_at	8.58474578420303e-05
Receptor expression-enhancing protein 5	Reep5	G3X8R0;Q60870	1426376_at	7.95000053490935e-07
Charged multivesicular body protein 5	Chmp5	Q9D7S9	1432270_a_at	0.246418806198506
Cytosolic 10-formyltetrahydrofolate dehydrogenase	Aldh1l1	Q8R0Y6	1424401_at	6.97264174923517e-07
Opioid growth factor receptor	Ogfr	Q99PG2;Q99PG2-2;Q3UF10;F8WHQ2	1422512_a_at	0.286408416924934
Syntaxin-17	Stx17	Q9D0I4;Q9D614;B1AVI2	1428917_at	8.41485716473452e-07
Lysophospholipid acyltransferase 5	Lpcat3	Q91V01;D6RGA3	1423960_at	0.0246575390391964
Transforming growth factor-beta receptor-associated protein 1	Tgfbrap1	Q3UR70	1428426_s_at	0.330141947940048
Conserved oligomeric Golgi complex subunit 8	Cog8	Q9JJA2	1451052_at	0.11027273335346
Pre-mRNA-splicing factor SLU7	Slu7	Q8BHJ9	1447146_s_at	0.0413438751231548
Ras-related protein Rab-6A	Rab6a	P35279;P35279-2;D3YV69;Q8BHD0	1448304_a_at	0.441180165020419
NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	Ndufs5	Q99LY9;B1ARW4	1416495_s_at	0.0765160696156383
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	Dlat	Q8BMF4	1452005_at	0.0182342279380103
Mannose-1-phosphate guanyltransferase beta	Gmppb	Q8BTZ7	1439030_at	0.00775562915073785
Ribosome biogenesis protein WDR12	Wdr12	Q9JJA4;D3Z369	1448646_at	6.35806263799771e-07
60S ribosomal protein L18a	Rpl18a	P62717	1428152_a_at	0.0285581378023899
Protein FAM107B	Fam107b	Q3TGF2	1448509_at	0.0136425715584137
LYR motif-containing protein 4	Lyrm4	Q8K215	1455588_at	0.0180189070930569
MOB kinase activator 1A;MOB kinase activator 1B	Mob1a;Mob1b	Q921Y0;Q3UDM0;Q8BPB0;Q921Y0-2	1455184_at	6.71445714009e-07
5-3 exoribonuclease 2	Xrn2	Q9DBR1;Q9DBR1-2	1450777_at	8.37740162596466e-07
ATP synthase subunit g, mitochondrial	Atp5l	Q9CPQ8;F2Z452	1448203_at	0.759386599386034
SH3 domain-binding protein 2	Sh3bp2	E9QJU7;Q3UD40;Q06649;Q5U3L0	1448328_at	0.132537271553844
Inhibitor of Bruton tyrosine kinase	Ibtk	Q6ZPR6;Q6ZPR6-2	1434282_at	0.184463140544242
Protein phosphatase Slingshot homolog 3	Ssh3	Q8K330-2;Q8K330	1447929_at	0.867213704300541
Pre-mRNA-processing factor 6	Prpf6	Q91YR7;Q91YR7-2	1424036_at	0.0564680999638724
Interleukin-1 receptor antagonist protein	Il1rn	P25085;Q3TBV5;A2AIU1;P25085-2	1423017_a_at	0.059069123366243
Tetratricopeptide repeat protein 4	Ttc4	Q8R3H9;A2AVQ9;A2AVR1	1451192_a_at	0.275968533149438
Metastasis-associated protein MTA1	Mta1	Q8K4B0;E9PX23;F8WHY8	1417295_at	0.434784711143422
BRCA1-associated ATM activator 1	Baat1;Brat1	E9QLK3;Q8C3R1;Q8C3R1-2;F6RL49;D6RE40	1427316_s_at	0.0106914903696093
Sulfatase-modifying factor 2	Sumf2	Q8BPG6;F8WIM0;F6R8U9	1429714_at	0.10800188165149
Pancreatic alpha-amylase	Amy2;Amy2a2;Amy2a1	P00688;E9PZ01;E9PV85	1416055_at	0.0142793282468648
BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11	Bid	P70444;D3Z463	1447873_x_at	0.0694644938478253
DNA-directed RNA polymerases I and III subunit RPAC2	Polr1d	P97304	1448287_at	0.00572865891817908
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	Stt3b	Q3TDQ1	1426342_at	3.32879695896266e-05
Protein FAM105B	Fam105b	Q3UCV8	1427966_at	0.00871569603034433
Nuclear speckle splicing regulatory protein 1	Nsrp1	Q5NCR9	1455738_at	0.0206191172454094
Protein FADD	Fadd	Q61160	1446499_at	0.114547606304764
1-acyl-sn-glycerol-3-phosphate acyltransferase beta	Agpat2	Q8K3K7	1428821_at	8.61408517566354e-07
Importin-4	Ipo4	Q8VI75;Q5U4C5	1436420_a_at	0.0199197756436827
Protein FAM49B	Fam49b	Q921M7	1423829_at	0.0299294373873196
ADP-ribosylation factor-like protein 2	Arl2	Q9D0J4	1458565_at	0.219195189285251
7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase	Cyp8b1	O88962	1449309_at	0.00182896907795703
Glycerol-3-phosphate dehydrogenase 1-like protein	Gpd1l	Q3ULJ0;Q3ULJ0-2;D3Z0L6	1438196_at	9.03359876105827e-07
Solute carrier family 25 member 42	Slc25a42	Q8R0Y8	1443637_at	0.0363194447011099
Coiled-coil domain-containing protein 47	Ccdc47	Q9D024;Q9D024-2;F7C265;Q9D024-3;B1AR93	1424636_at	0.00599350047920764
Cytoplasmic dynein 1 heavy chain 1	Dync1h1	Q9JHU4;F6ZX84	1439950_at	0.0521426108506957
Ras-related protein Rap-2a	Rap2a	Q80ZJ1;F6W8Q2	1426965_at	0.0214589033245624
Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase	Aass	Q99K67;F6VMP2	1423523_at	0.0378016744729362
Interferon-inducible GTPase 1	Iigp1	Q9QZ85	1419043_a_at	0.824812473365256
Haloacid dehalogenase-like hydrolase domain-containing protein 2	Hdhd2	Q3UGR5;Q3UGR5-2;D3YZI3	1428507_at	0.0306632911081406
ZZ-type zinc finger-containing protein 3	Zzz3	Q6KAQ7;D3YTT9;G8JL75;Q6KAQ7-3;Q6KAQ7-2	1434332_at	0.00392031007067615
Exosome complex component RRP4	Exosc2	Q8VBV3;A2AV19	1426630_at	0.0344723036094997
Mitogen-activated protein kinase 8	Mapk8	G3X8U9;Q7TSJ7;A6P3E4;Q91Y86;D3Z1Z4	1420932_at	7.86854688396893e-07
	Phf3	B2RQG2;E9PXX1;F7AIS7	1428998_at	0.0362411638420173
Nicotinamide N-methyltransferase	Nnmt	O55239;D3YX59	1432517_a_at	0.000178735987685658
Sodium- and chloride-dependent GABA transporter 2	Slc6a13	P31649	1424338_at	0.0818981521868137
Aldose reductase-related protein 2	Akr1b8	P45377	1448894_at	0.137591472579055
Interferon regulatory factor 6	Irf6	P97431	1418301_at	6.4247747475687e-07
Protein phosphatase 1J	Ppm1j	Q149T7	1453127_at	0.76566102207629
Glutaredoxin-related protein 5, mitochondrial	Glrx5	Q80Y14	1428553_at	6.77729161536515e-07
Poly(ADP-ribose) glycohydrolase ARH3	Adprhl2	Q8CG72;Q8CG72-2	1427449_a_at	0.278390683857785
Rootletin	Crocc	Q8CJ40;Q8CJ40-2;Q8CJ40-3	1427338_at	0.675294323281889
Cdc42 effector protein 1	Cdc42ep1	Q91W92	1442512_at	0.0656895691434769
E3 ubiquitin-protein ligase RNF31	Rnf31	Q924T7;Q924T7-2;E9Q3X5;F6XVP7;D6RFE2;E9Q465	1455051_at	0.269957317758205
Ras-related protein Rap-1b	Rap1b	Q99JI6	1435518_at	0.0676105594471864
Pre-mRNA-processing factor 17	Cdc40	Q9DC48;Q6P8J8	1453342_at	0.0014338376826286
Cleavage and polyadenylation specificity factor subunit 3	Cpsf3	Q9QXK7	1422855_at	0.118718819239216
Integrin beta-1	Itgb1	P09055;F8WH76	1426918_at	0.0117825536440363
Uncharacterized aarF domain-containing protein kinase 4	Adck4	E9QLB8;Q566J8	1448490_at	5.85427544192525e-07
ATP-binding cassette sub-family G member 2	Abcg2	Q7TMS5;D3Z150;D3YZX5;D3YVG8	1422906_at	0.0139845502851203
Probable RNA polymerase II nuclear localization protein SLC7A6OS	Slc7a6os	Q7TPE5	1429596_at	0.432494780627731
Protein DDI1 homolog 2	Ddi2	A2ADY9;Q9DAF3	1422560_at	0.00183484414258286
NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	Ndufv1	Q91YT0;D3YUM1;D3Z1U9;D3Z0K1;D3YXX5;D6RG60	1456015_x_at	0.325648406042105
Serine/arginine-rich splicing factor 2	Srsf2	F7CZ20;E9Q975;Q62093	1427504_s_at	0.0156533250280163
Metaxin-1	Mtx1	F7C846;P47802;Q8R5C0;D3Z3F4;D3YVW0;G3UXX9;G3XA75;G3UYJ5;G3UXB5	1418521_a_at	0.00215238138823888
Aldehyde oxidase	Aox1	G3X8P9;O54754	1419435_at	0.705374353713276
26S proteasome non-ATPase regulatory subunit 14	Psmd14	O35593;F6SAH4	1421751_a_at	7.85575638966419e-07
STE20-like serine/threonine-protein kinase	Slk	O54988;O54988-2	1449336_a_at	0.0121132184276637
Glutathione S-transferase Mu 1	Gstm1	P10649;E9QA33	1425627_x_at	0.0158648434688922
Malate dehydrogenase, cytoplasmic	Mdh1	P14152;B1ATQ3	1438338_at	0.0191333382484597
AP-2 complex subunit alpha-1	Ap2a1	P17426;P17426-2;F6TPX8;F6VSP9	1460724_at	0.165522337161435
Thioredoxin-dependent peroxide reductase, mitochondrial	Prdx3	P20108	1416292_at	0.298216249520632
Ras-related protein Rab-11B;Ras-related protein Rab-11A	Rab11b;Rab11a	P46638;P62492;G3UZD3;F8WGS1;E9Q3P9;G3UY29;G3UZL4;E9Q6B3	1449256_a_at	0.00734322362653753
Estradiol 17-beta-dehydrogenase 8	Hsd17b8;H2-Ke6	P50171-2;P50171;G3UX44	1454987_a_at	0.0936608202676036
Glucokinase	Gck	P52792-2;P52792;F6V339	1425303_at	0.000244212923042154
Adenylosuccinate lyase	Adsl	P54822;E9Q242;E9Q3T7;E9Q0A0	1418372_at	0.916035015496255
Pterin-4-alpha-carbinolamine dehydratase	Pcbd1	P61458	1418713_at	0.0879498881606459
Small ubiquitin-related modifier 1	Sumo1	P63166	1451005_at	8.38074401536483e-07
Ras GTPase-activating protein-binding protein 1	G3bp1	P97855;Q3UR88	1422801_at	1.80237296977195e-05
Protein dopey-2	Dopey2	Q3UHQ6;Q3UHQ6-2	1428330_at	0.000471795053406441
N-acetylgalactosamine-6-sulfatase	Galns	Q571E4;Q8CC47	1443753_at	0.378980841622862
Protein SCO1 homolog, mitochondrial	Sco1	Q5SUD5;Q5SUC9	1430300_at	0.446952507324412
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase	Enpp3	Q6DYE8	1427302_at	0.00184229839414489
Protein RRP5 homolog	Pdcd11	Q6NS46	1428688_at	0.00196701654357421
	Tha1	Q6XPS7	1428780_at	0.153595652335483
La-related protein 1	Larp1	Q6ZQ58;Q9D423;Q6ZQ58-2;E9PYM4	1428244_at	7.48403692857198e-07
	Myl12a	Q6ZWQ9;D3YV37;D3Z249	1420820_at	0.00509612992431723
Ataxin-2-like protein	Atxn2l	Q7TQH0-2;Q7TQH0-3;Q7TQH0;Q3TGG2;E9Q5Q0	1456476_at	0.552193167044494
Shugoshin-like 2	Sgol2	Q7TSY8	1437370_at	0.213819326408501
NHL repeat-containing protein 3	Nhlrc3	Q8CCH2;D6RE41	1456026_at	7.89670951469672e-07
Ribosome-releasing factor 2, mitochondrial	Gfm2	Q8R2Q4;Q8R2Q4-2;Q8R2Q4-3;E9Q7N5;E9Q164;Q8C1C2;E0CY79;E0CXH2	1426590_at	0.139733219544214
Aminoacylase-1	Acy1	Q99JW2	1419173_at	8.36222362334472e-07
Heat shock 70 kDa protein 14	Hspa14	Q99M31;Q99M31-2;D6RJ26;D6RI78	1417095_a_at	0.00779192817383408
INO80 complex subunit B	Ino80b	Q99PT3;D6RES5	1418657_at	0.338048783016666
SNW domain-containing protein 1	Snw1	Q9CSN1	1429003_at	0.00182022206087345
Cytochrome c1, heme protein, mitochondrial	Cyc1	Q9D0M3;Q9D0M3-2	1416604_at	0.864315126789285
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	Ndufaf4	Q9D1H6;A2AJX3	1435333_at	0.00103745697791666
Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	Acadsb	Q9DBL1;E9Q5L3	1455446_x_at	0.321530774683445
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	Ndufa9	Q9DC69	1416663_at	0.919747618603815
Coatomer subunit beta	Copb1	Q9JIF7;E9PYW9	1423301_at	0.0236395769313797
Serine--tRNA ligase, mitochondrial	Sars2	Q9JJL8	1448522_at	0.205587929318878
Solute carrier organic anion transporter family member 1A1	Slco1a1	Q9QXZ6;E9Q0W2;Q91YY5;F8VQI5;E0CX25	1449844_at	7.73362406168033e-07
Interleukin enhancer-binding factor 3	Ilf3	Q9Z1X4-3;Q9Z1X4;Q9Z1X4-2;F6UW33;Q45VK5	1460669_at	0.151996629456715
ARF GTPase-activating protein GIT2	Git2	E9PVA6;Q9JLQ2;D3Z1I2;Q80XR8;F7BIK4;F6U8T2;F6WV69;D3Z409;F6SLJ2	1423391_at	0.17391676972699
	Irgm2	E9PVI2;Q9Z1M2	1417793_at	0.0702237262966445
Microtubule-associated protein RP/EB family member 3	Mapre3	Q6PER3	1427079_at	0.375531953468904
Vacuolar fusion protein CCZ1 homolog	Ccz1	Q8C1Y8	1433554_at	8.31224372641475e-07
Integrator complex subunit 9	Ints9	Q8K114;G8JL56;Q8K114-2	1436896_at	0.00574744797119507
	Apol7a;Apol6	B2RT54;E9Q635;B7ZC55;B7ZC54;B7ZC57	1429272_a_at	0.00734534534427783
Putative hydrolase RBBP9	Rbbp9	O88851	1416174_at	0.85784554899154
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	Ndufa13	Q9ERS2	1430713_s_at	0.736970040737779
Huntingtin	Htt	G3X9H5;P42859;E9QKY1;P42859-2	1456667_at	0.0772263394925788
Down syndrome critical region protein 3 homolog	Dscr3	O35075	1415745_a_at	0.0592181897357304
Ras-related protein R-Ras	Rras	P10833	1418448_at	0.00332883108407643
Adrenodoxin, mitochondrial	Fdx1	P46656;E9Q8L1	1449108_at	7.94107398401762e-07
Protein FAM40A	Fam40a	Q8C079;Q8C079-3;Q8C079-4;Q8C9H6;Q8C9H6-3;F6RUA3;Q8C079-2	1454644_at	0.190460714605879
60S ribosomal protein L22-like 1	Rpl22l1	Q9D7S7;Q9D7S7-2	1417126_a_at	0.206692944323672
	Kdelc2	G5E897	1453071_s_at	0.0268502155186018
40S ribosomal protein S12	Rps12;Rps12-ps2;Gm10063	Q6ZWZ6;P63323;D3Z6B6;D3Z1P4	1433432_x_at	0.0324940359545356
Inter-alpha-trypsin inhibitor heavy chain H1	Itih1	F8WJ05;Q61702	1417973_at	7.23419628740622e-07
Regulation of nuclear pre-mRNA domain-containing protein 2	Rprd2	Q6NXI6;Q6NXI6-2;E9Q6Q9	1434817_s_at	0.0103383447612528
Metalloreductase STEAP3	Steap3	E9QN92;Q8CI59-2;Q8CI59;D3YTP0	1423468_at	0.00881861167433609
Nuclear receptor-binding factor 2	Nrbf2	Q8VCQ3;E9Q0D5	1448758_at	0.111860658381597
	Abat	F7C9G3	1433855_at	6.47250848164005e-07
CaiB/baiF CoA-transferase family protein C7orf10 homolog	5033411D12Rik	G3X9F8;Q7TNE1	1421422_at	0.0525597311539761
Ferritin heavy chain	Fth1	P09528	1448771_a_at	0.0942266715129685
Glutathione reductase, mitochondrial	Gsr	P47791;F6ZDD7;P47791-2	1421816_at	0.85906209935501
GTP cyclohydrolase 1 feedback regulatory protein	Gchfr	P99025	1435750_at	0.137643866069177
DEP domain-containing mTOR-interacting protein	Deptor	Q570Y9;B2ZRS5;Q570Y9-3;Q570Y9-2	1443579_s_at	7.8046490461616e-07
ATP-binding cassette sub-family A member 8-B	Abca8b	Q8K440;Q8K440-2	1427546_at	8.15878826440531e-07
ATP-dependent RNA helicase DDX39A	Ddx39a;Ddx39	Q8VDW0;Q3UAF1;D6RHT5;Q8VDW0-2	1455814_x_at	7.35352171591419e-07
CDK5 regulatory subunit-associated protein 3	Cdk5rap3	Q99LM2;B0QZI8;F2Z486;A2A6D9;D6RJ46;A2A6E1;Q60636-2;A2A6E0;D6RII4	1423067_at	0.829002416054552
Histidine triad nucleotide-binding protein 2, mitochondrial	Hint2	Q9D0S9	1425196_a_at	0.497292582596069
Ladinin-1	Lad1	P57016	1418449_at	0.00560298567943044
B-cell receptor-associated protein 29	Bcap29	Q61334	1417077_at	0.00101129022271716
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	Smarca5	Q91ZW3	1424206_at	0.0530162304845029
Nicotinamide mononucleotide adenylyltransferase 3	Nmnat3	Q99JR6;Q3V3C7;D3Z3B0;Q3V3F1	1424899_at	7.28606836345528e-07
Importin subunit alpha-3	Kpna3	O35344;E9Q1R3	1421828_at	0.25528317344903
Adenylyl cyclase-associated protein 1	Cap1	P40124;B1ARS0;Q9CYT6;D3YTR7	1417462_at	0.338702925004145
Mitogen-activated protein kinase 1	Mapk1	P63085;E9QAJ2;F6VEI7	1426585_s_at	0.00191816295319656
Carnitine O-palmitoyltransferase 1, liver isoform	Cpt1a	P97742;Q924X2	1460409_at	7.16465286914861e-07
Acylpyruvase FAHD1, mitochondrial	Fahd1	Q3UQY4;Q8R0F8	1419547_at	0.111157986006129
APOBEC1 complementation factor	A1cf	Q5YD48;Q5YD48-2;Q5YD48-3	1432212_at	0.914667517359676
G protein-regulated inducer of neurite outgrowth 3	Gprin3	Q8BWS5	1430834_at	0.0341105839200636
Methylmalonic aciduria type A homolog, mitochondrial	Mmaa	Q8C7H1	1417857_at	7.57956982283361e-07
Fermitin family homolog 2	Fermt2	Q8CIB5;F8WGQ4;A6X941;A6X940	1434180_at	7.45361409442128e-07
RWD domain-containing protein 1	Rwdd1	Q9CQK7	1430242_at	0.0237457425003979
	BC006779	A2AS03;E9QAM5;A2AS05;E9Q8D9;E9Q7J7	1435454_a_at	6.5017166618566e-07
Glycolipid transfer protein	Gltp	Q9JL62;D3Z1H9;D3Z1H8	1419027_s_at	0.0247354442507321
	Stard10	E9PVP0;E9PVT5;G3UW37;G3UY87;G3V020;G3UYN6;G3UZB9	1448956_at	0.76801967179608
Torsin-1A-interacting protein 1	Tor1aip1	E9PZE1;E9PZE2;Q921T2;F6YC07;E9PWW2	1458364_s_at	0.00814012452439459
C-terminal-binding protein 1	Ctbp1	O88712;O88712-2;O88712-3	1415702_a_at	0.512076180131673
Decorin	Dcn	P28654	1449368_at	0.578465488364633
ATP-binding cassette sub-family B member 10, mitochondrial	Abcb10	Q9JI39	1416402_at	0.0502070610917909
Uncharacterized protein KIAA0528	Kiaa0528;5730419I09Rik	Q7TPS5;E9Q026;Q7TPS5-2;F8WIV9;Q7TPS5-3	1432471_at	0.580210758047629
TFIIH basal transcription factor complex helicase XPB subunit	Ercc3	P49135	1448497_at	0.00814234503029307
Charged multivesicular body protein 2b	Chmp2b	Q8BJF9;B1AVH5;Q8C0P5	1428252_at	0.111899606530458
Methyl-CpG-binding domain protein 3	Mbd3	Q9Z2D8;D3YTR4;D3YTR5;Q9Z2D8-2;F6WZH1	1417728_at	0.0100569441270199
