Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Urocanate hydratase	Uroc1	Q3UEL5;Q8VC12	34	42	36	45	39	36	33	34	34	37	41	39	38	32	41	44	37.8125	45	0.730380235	676	23.36	25.45
Phosphotriesterase-related protein	Pter	Q60866;Q60866-2;A2AUR3;A2AUR5	15	21	16	18	18	20	15	20	18	13	22	14	19	14	17	19	17.4375	22	0.730447059	349	24.1	26.22
2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	Bckdhb	Q6P3A8;Q6P3A8-2	30	42	31	39	33	34	41	38	33	31	36	32	39	35	38	43	35.9375	43	0.727451168	390	23.82	26.03
Nischarin	Nisch	Q80TM9;Q80TM9-6;Q80TM9-4;E9PWZ1;Q80TM9-2;F6PY46;Q80TM9-3;Q80TM9-5	3	2	2	2	3	2	2	1	2	2	3	2	3	3	2	4	2.375	4	0.729531339	1593	22.44	24.18
IST1 homolog	Ist1;2400003C14Rik	Q9CX00;Q8BHC2	3	5	5	5	3	5	4	4	3	4	3	3	4	5	4	4	4	5	0.730260175	362	22.36	24.51
ADP-ribosylation factor-binding protein GGA1	Gga1	Q8R0H9	5	6	4	5	3	5	6	4	3	4	5	4	8	2	4	7	4.6875	8	0.729607887	635	21.93	23.58
Tether containing UBX domain for GLUT4	Aspscr1	Q8VBT9;Q8VBT9-2;Q8VBT9-3;A2ABZ8;A2AC05	6	7	7	5	5	6	7	5	6	3	7	4	8	4	8	7	5.9375	8	0.728024151	550	21.74	23.32
Fructose-bisphosphate aldolase B	Aldob	Q91Y97	114	183	189	215	135	192	190	174	171	208	190	176	181	202	202	222	184	222	0.730049743	364	22.2	24.38
Quinone oxidoreductase-like protein 1	Cryzl1	Q921W4;D3Z6I4;D3YZD6;Q921W4-2;D3YU21	2	4	6	4	1	3	2	3	3	4	1	4	3	4	1	1	2.875	6	0.727517853	348	23.35	25.58
Cytochrome b-c1 complex subunit 8	Uqcrq	Q9CQ69	1	2	4	3	3	2	3	2	3	1	3	2	2	3	2	3	2.4375	4	0.72819544	82	25.92	27.63
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	Coq5	Q9CXI0	4	5	5	5	6	5	5	4	4	3	5	5	5	5	3	4	4.5625	6	0.728779797	327	24.58	26.56
COP9 signalosome complex subunit 7a	Cops7a	Q9CZ04-2;Q9CZ04;D3Z440;D3YVI6	4	8	7	7	4	7	6	6	7	4	6	5	7	6	8	7	6.1875	8	0.72908607	275	21.69	23.88
E3 SUMO-protein ligase RanBP2;Putative peptidyl-prolyl cis-trans isomerase	Ranbp2	Q9ERU9	15	20	24	23	20	23	16	26	31	15	19	20	22	13	17	12	19.75	31	0.724427354	3053	22.94	25.09
Na(+)/H(+) exchange regulatory cofactor NHE-RF3	Pdzk1	Q9JIL4	36	36	30	37	28	35	44	25	33	22	34	21	37	23	41	35	32.3125	44	0.729646493	519	21.57	23.54
	Fam98c	E9PYD1;D3YXS7;F6S0H0;F6ZXW2;D3Z100	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0.4375	1	0.672647112	NA	NA	NA
	C130039O16Rik	E9Q2I4	0	0	3	0	1	0	0	2	1	2	0	2	0	2	0	0	0.8125	3	0.679350005	NA	NA	NA
Signal recognition particle 9 kDa protein	Srp9	P49962;D3YZX8	3	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0.5	3	0.678630216	86	24.81	26.95
	Fuk	Q7TMC8;Q7TSB1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0.25	1	0.677863056	1090	23.05	24.89
Protein FAM126B	Fam126b	Q8C729-2;Q8C729	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0.3125	1	0.680688457	530	22.46	24.62
Insulin-degrading enzyme	Ide	F6RPJ9;Q9JHR7	32	39	44	42	36	37	40	36	36	30	44	30	42	35	38	39	37.5	44	0.731749241	1019	24.78	27.04
Cytochrome c oxidase subunit 6B1	Cox6b1	P56391	10	9	20	9	11	9	13	10	15	15	9	10	10	16	10	8	11.5	20	0.732132398	86	25.93	28.2
CTP synthase 2	Ctps2	P70303;P70303-2;P70303-3	1	2	2	3	5	2	2	2	1	2	2	2	2	2	2	2	2.125	5	0.733237042	586	23.84	26.42
Interferon regulatory factor 3	Irf3	P70671	2	2	5	1	1	2	2	3	3	3	2	3	2	3	5	3	2.625	5	0.732639114	419	23.71	25.75
26S proteasome non-ATPase regulatory subunit 12	Psmd12	Q9D8W5;B1AT36;Q3TRH2	13	12	13	13	12	7	14	9	11	6	11	8	13	6	11	9	10.5	14	0.733276841	456	23.82	26.28
Serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	P62141	2	2	2	2	1	1	2	2	2	1	0	0	2	0	1	1	1.3125	2	0.527287665	327	24.41	26.91
Thymosin beta-4;Hematopoietic system regulatory peptide	Tmsb4x	P20065;P20065-2	19	16	13	14	17	15	20	10	16	11	16	15	18	13	15	12	15	20	0.733938703	50	21.5	23.02
Zinc finger CCCH domain-containing protein 15	Zc3h15	Q3TIV5;Q3TIV5-2	6	5	6	5	8	3	6	4	4	6	4	4	3	7	7	5	5.1875	8	0.733997274	426	22.41	24.4
Cytoplasmic dynein 1 light intermediate chain 1	Dync1li1	Q8R1Q8	18	17	23	22	14	19	19	17	17	16	20	15	28	12	20	25	18.875	28	0.73449983	523	22.2	24.45
Protein NipSnap homolog 1	Nipsnap1	E9Q0E4;O55125	21	27	27	28	22	28	30	26	28	25	34	26	32	26	34	39	28.3125	39	0.735774635	284	25.62	27.62
Tubulin--tyrosine ligase-like protein 12	Ttll12	Q3UDE2	2	3	2	2	1	1	2	1	2	1	2	1	2	1	2	1	1.625	3	0.736020277	639	24.93	26.54
Carbamoyl-phosphate synthase [ammonia], mitochondrial	Cps1	Q8C196	1019	1641	1204	1622	955	1678	1372	1312	1147	1627	1309	1636	1409	1801	1418	1627	1423.5625	1801	0.736171752	1500	23.08	25.68
CDGSH iron-sulfur domain-containing protein 1	Cisd1	Q91WS0	21	24	26	20	18	20	21	21	18	23	25	20	15	24	26	22	21.5	26	0.735967581	108	24.44	27.25
UTP--glucose-1-phosphate uridylyltransferase	Ugp2	Q91ZJ5;Q91ZJ5-2	92	114	111	113	95	100	104	101	104	96	112	105	112	108	117	123	106.6875	123	0.735325387	508	23.5	26.31
Methyltransferase-like protein 2	Mettl2	Q8BMK1	0	0	2	0	0	0	0	1	2	1	2	0	1	0	0	0	0.5625	2	0.682094481	389	23.77	25.63
NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	Nfu1	Q9QZ23	7	7	6	7	7	6	7	6	8	4	8	7	7	4	7	7	6.5625	8	0.737086935	255	23.34	25.11
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	Ndufaf3	Q9JKL4	1	1	3	3	1	3	4	2	2	1	3	2	2	2	2	3	2.1875	4	0.737555271	185	23.38	24.69
Protein LTV1 homolog	Ltv1	Q6NSQ7	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0.3125	1	0.682990634	470	22.57	24.28
Rap guanine nucleotide exchange factor 2	Rapgef2	Q8CHG7;E9QNQ4	1	0	1	0	1	0	2	0	0	1	0	1	0	1	0	0	0.5	2	0.683558575	1496	22.33	24.1
Coiled-coil domain-containing protein 104	Ccdc104	Q8C6E0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0.375	1	0.685190158	343	22.45	23.73
Integrator complex subunit 4	Ints4	Q8CIM8;Q8CIM8-2;Q8CIM8-3	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0.3125	1	0.6916887	964	23.13	25.26
Homeobox protein DBX1	Dbx1	P52950	2	2	1	2	2	1	2	2	1	1	1	1	0	1	1	2	1.375	2	0.67480601	335	21.91	23.33
Extended synaptotagmin-1	Esyt1	Q3U7R1;Q3U7R1-2	3	2	8	2	3	1	5	3	8	1	6	0	2	1	3	3	3.1875	8	0.674104712	1092	22.96	25.03
WD repeat-containing protein 44	Wdr44	Q6NVE8	5	1	3	1	5	1	4	1	1	1	3	0	2	1	1	2	2	5	0.671673538	915	22.22	24.3
Ubiquitin thioesterase OTUB1	Otub1	Q7TQI3;D3YWF6	13	16	14	15	12	15	11	18	14	11	16	17	18	13	12	11	14.125	18	0.741622292	271	23.7	25.72
Lysophospholipase-like protein 1	Lyplal1	E9QLB2;Q3UFF7	5	7	7	8	7	6	7	7	8	4	8	6	7	6	6	7	6.625	8	0.74248001	239	23.76	25.88
ATP synthase subunit f, mitochondrial	Atp5j2	P56135;F8WHP8	18	19	18	21	23	18	20	20	19	22	20	19	15	17	18	15	18.875	23	0.742166254	88	26.73	29.57
COP9 signalosome complex subunit 2	Cops2	P61202-2;P61202;A2AQE4	11	14	12	15	13	13	14	15	15	13	14	13	17	11	15	14	13.6875	17	0.740641779	443	24.01	26.61
Mevalonate kinase	Mvk	Q3UEB4;Q9R008;D3YV77	3	2	4	3	3	1	3	2	3	2	5	2	5	2	5	6	3.1875	6	0.741146716	395	21.9	24.4
Ubiquitin-associated protein 2-like	Ubap2l	Q80X50-2;Q80X50;Q80X50-4;Q80X50-5;E9Q9Q3;Q80X50-3	16	13	15	13	11	12	14	8	12	7	10	5	13	7	11	10	11.0625	16	0.741666084	1107	20.44	21.97
Vigilin	Hdlbp	Q8VDJ3	76	83	96	83	69	80	82	66	80	87	85	88	91	84	88	86	82.75	96	0.742152943	1268	22.52	24.07
Heat shock 70 kDa protein 12B	Hspa12b	Q9CZJ2	1	1	3	1	2	1	2	1	2	1	2	1	3	1	2	2	1.625	3	0.742697263	685	23.24	24.92
Tubulin-folding cofactor B	Tbcb	Q9D1E6	4	2	1	2	3	2	3	3	3	1	2	2	2	1	2	2	2.1875	4	0.740825444	244	22.87	24.93
Prolyl 3-hydroxylase 1	Lepre1	A2A7Q5;A6PW84;Q3V1T4;Q3V1T4-3;E9QNM0;Q3V1T4-2;F2Z499	0	0	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0.875	2	0.567721031	739	23.15	24.98
Cyclin-dependent kinase 11B	Cdk11b	P24788;A2A9P6;P24788-2	2	1	2	1	3	2	4	1	1	0	2	0	3	0	1	0	1.4375	4	0.514119102	784	22.52	23.19
UPF0485 protein C1orf144 homolog	D4Ertd22e	Q6NXN1;A2AA85;Q6NXN1-2;A2AA86	2	3	0	2	2	0	1	2	0	0	1	1	3	1	2	3	1.4375	3	0.802818449	152	20.64	20.92
Phosphorylase b kinase regulatory subunit alpha, liver isoform	Phka2	Q8BWJ3;A2AHQ7;Q6PE66	3	0	4	2	6	1	4	5	6	0	1	0	1	1	0	1	2.1875	6	0.591074382	1235	23.65	25.94
Kinesin-like protein KIF17	Kif17	Q99PW8;A2AM72;A2AM74;Q3V365;O35057	3	0	0	2	0	1	1	2	1	1	0	1	1	1	2	2	1.125	3	0.740256491	1038	21.86	23.45
GDP-fucose protein O-fucosyltransferase 1	Pofut1	Q91ZW2;Q3UXG7;A2AMC3;E9Q686;E9PZ15	1	1	2	1	1	1	2	1	1	0	1	0	1	0	0	1	0.875	2	0.616716438	393	25.07	27.12
Copper-transporting ATPase 2	Atp7b	Q64446;B1AQ57	0	2	3	2	3	2	3	3	3	1	1	2	0	2	0	0	1.6875	3	0.811322188	1462	22.31	24.65
Protein misato homolog 1	Msto1	D3YX87;E9PUB7;Q2YDW2;Q2YDW2-2	2	1	2	1	1	1	2	1	0	0	1	2	2	0	0	1	1.0625	2	0.562428734	556	23.05	25
RalBP1-associated Eps domain-containing protein 1	Reps1	O54916;E9Q632;F6R6F1;O54916-4;O54916-3;D3Z2E3	5	1	1	2	2	0	4	3	0	1	0	0	1	2	1	1	1.5	5	0.744384704	795	21.33	22.52
	Klc1	Q8CD76;D3Z5T6;Q7TNF4;E9Q7C9;E9QKS0;E9QM07;Q5UE59	0	0	3	1	0	2	0	1	2	2	1	1	2	1	1	1	1.125	3	0.636632085	NA	NA	NA
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	Gm20498;Cox16	E9PVN6;Q9CR63	1	1	2	1	2	0	1	1	1	0	1	0	1	0	1	1	0.875	2	0.756757943	106	24.47	26.81
Ecotropic viral integration site 5 protein	Evi5	F8VPT6;P97366;E9QLA9;E9PWR7;Q3UYX4;Q3TMK4;E9Q9B1	2	1	4	2	2	2	2	1	1	0	2	1	2	0	0	0	1.375	4	0.643247236	809	22.94	24.56
Protein unc-93 homolog B1	Unc93b1	E9PYK0;Q8VCW4;E9Q8P6;Q8VCW4-2	1	2	0	1	0	1	0	1	1	2	1	0	1	2	1	1	0.9375	2	0.678983216	598	24.87	27.53
RNA-binding protein 26	Rbm26	Q6NZN0;E9PYZ7;Q6NZN0-2;Q6NZN0-4;Q6NZN0-3;E9Q640;Q6NZN0-5;E9PUF4	3	2	0	2	2	2	1	1	1	0	1	0	1	0	1	1	1.125	3	0.731783077	1012	22.36	23.66
	Nolc1	E9Q5C9;E9PVC9	1	0	2	2	0	2	0	2	2	1	0	1	2	1	1	1	1.125	2	0.529896235	702	18.95	20.31
CUGBP Elav-like family member 2	Celf2	Q9Z0H4-9;Q9Z0H4-6;Q9Z0H4-2;Q9Z0H4-8;Q9Z0H4;F6V6I8;Q9Z0H4-4;Q9Z0H4-5;Q9Z0H4-7;E9QA47;Q9Z0H4-11;A3KGT2;A3KGT0	1	1	2	1	2	2	1	0	2	1	0	1	1	1	0	0	1	2	0.585634204	508	21.44	23.77
	Psmd11	F6Z0Q9	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0.75	1	0.59370964	NA	NA	NA
Hepatocyte growth factor receptor	Met	F8VQL0;P16056	3	1	1	1	3	1	1	1	2	1	0	1	0	1	0	0	1.0625	3	0.718490181	1379	23.72	26.28
Poly(ADP-ribose) glycohydrolase	Parg	O88622;G3X8U8;O88622-2;A5YBK2;E9Q088	1	1	2	1	1	0	1	1	1	1	0	1	1	1	0	0	0.8125	2	0.68769454	969	22.84	24.44
Unconventional myosin-Vb	Myo5b	G3X9Y9;P21271-3;G5E8G6;P21271	0	1	2	2	0	1	1	2	1	2	1	2	2	2	0	0	1.1875	2	0.518794578	1818	23.57	25.55
MAGUK p55 subfamily member 7	Mpp7	G5E8S8;Q8BVD5;Q8BVD5-2;Q8BVD5-3;F8WGQ7;Q8BVD5-4;Q8BVD5-5	1	1	2	2	1	2	3	2	1	0	2	0	0	0	1	1	1.1875	3	0.823379261	576	23.72	25.88
Numb-like protein	Numbl	O08919	2	1	0	1	2	0	3	0	0	1	1	1	1	1	1	1	1	3	0.749955701	604	21.19	22.03
26S proteasome non-ATPase regulatory subunit 4	Psmd4	O35226;O35226-4	0	0	2	2	0	0	2	1	1	1	2	1	2	1	1	2	1.125	2	0.536641414	376	20.84	22.83
39S ribosomal protein L23, mitochondrial	Mrpl23	O35972	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0.75	1	0.823798984	146	24.37	25.47
Cathepsin S	Ctss	Q3UD32;O70370	0	3	1	1	0	2	2	0	2	0	3	1	2	2	2	3	1.5	3	0.555247051	340	24.56	27.02
Target of Myb protein 1	Tom1	Q3UDC3;O88746	1	1	2	1	2	1	2	0	2	0	2	0	2	0	2	2	1.25	2	0.541898335	492	21.51	23.15
Phosphoglycerate kinase 2	Pgk2	P09041	0	1	1	1	0	1	3	1	1	1	1	0	1	0	1	1	0.875	3	0.611850329	417	22.65	25.63
Lysosome-associated membrane glycoprotein 1	Lamp1	P11438	1	0	4	0	0	0	1	2	2	2	1	1	1	2	1	1	1.1875	4	0.557682674	406	22.47	25.58
Gamma-enolase;Enolase	Eno2	P17183;D3Z6E4	0	1	1	2	0	1	3	1	2	0	2	0	1	1	3	2	1.25	3	0.802849676	434	22.37	24.92
Guanine nucleotide-binding protein subunit alpha-11	Gna11	P21278	4	1	3	2	4	1	2	4	4	0	2	0	1	2	0	0	1.875	4	0.797620084	359	24.67	27.16
Calcium/calmodulin-dependent protein kinase type II subunit beta	Camk2b	Q5SVJ0;Q5SVI1;Q68EG2;P28652;Q5SVI2;Q5SVI0;Q5SVI3;Q5SVJ1;Q5SVI9;Q3TY93	2	2	3	2	0	2	3	2	2	0	5	0	3	0	4	2	2	5	0.835827432	542	23.43	25.39
MARCKS-related protein	Marcksl1	P28667	0	1	2	1	0	1	0	1	2	1	0	1	1	1	1	1	0.875	2	0.606804803	200	17.62	18.17
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Plcb3	P51432	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0.75	1	0.725330303	1234	22.44	24.02
Ras and Rab interactor 3	Rin3	P59729;Q3U332	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0.75	1	0.515489302	980	22.07	23.71
ADP-ribosylation factor GTPase-activating protein 1	Arfgap1	Q9EPJ9;Q3TGS9;Q9EPJ9-2	1	2	0	2	1	2	2	1	2	0	2	0	2	0	1	2	1.25	2	0.788042447	414	22.24	24.17
Negative elongation factor D	Th1l	Q3TW27;Q922L6	1	3	3	2	2	0	2	3	3	0	3	0	4	0	4	5	2.1875	5	0.591734341	591	23.56	25.73
Sorting nexin-27	Snx27	Q3UHD6;Q3UHD6-2;E9PW30	2	0	3	3	2	1	1	2	0	0	1	1	1	3	1	0	1.3125	3	0.704523231	539	23.79	25.72
G patch domain and KOW motifs-containing protein	Gpkow	Q56A08;F6XU64	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0.75	1	0.633096489	488	21.43	22.49
Cytoplasmic polyadenylation element-binding protein 4	Cpeb4	Q7TN98;Q7TN98-2;Q5SU48;Q7TN98-3;Q7TN98-5;Q7TN98-4;Q5SU47;Q9D5G2	1	2	2	2	1	4	1	3	3	1	0	3	0	3	0	0	1.625	4	0.602135645	729	22.93	24.34
Receptor-interacting serine/threonine-protein kinase 1	Ripk1	Q60855;F7D1J2	1	0	2	2	2	2	2	2	2	0	1	0	2	0	1	1	1.25	2	0.759540733	656	23.73	25.49
Transcriptional regulator ATRX	Atrx	Q61687	1	0	3	0	1	1	1	1	1	0	1	0	2	3	1	1	1.0625	3	0.436299378	2476	21.75	23.52
Nuclear pore glycoprotein p62	Nup62	Q63850;E9PUX9	4	2	3	5	4	2	3	2	3	0	0	0	4	1	0	3	2.25	5	0.542220777	526	19.94	22.24
Switch-associated protein 70	Swap70	Q6A028	1	1	2	1	2	1	0	0	1	2	1	1	1	0	1	0	0.9375	2	0.562027567	585	24.01	25.72
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Inppl1	Q6P549	0	1	1	2	0	2	0	1	1	1	1	3	1	0	1	1	1	3	0.777149174	1257	22.56	24.27
Tyrosine-protein phosphatase non-receptor type 23	Ptpn23	Q6PB44;Q6PB44-2	6	2	4	3	5	2	1	2	1	0	0	0	2	0	4	3	2.1875	6	0.49699744	1692	22.07	23.19
Cytoplasmic FMR1-interacting protein 1;Cytoplasmic FMR1-interacting protein 2	Cyfip1;Cyfip2	Q7TMB8;Q7TMB8-2;Q5SQX6	3	1	3	2	4	0	2	2	5	0	3	1	0	1	0	1	1.75	5	0.604663113	NA	NA	NA
Stromal membrane-associated protein 2	Smap2	Q7TN29;Q7TN29-2	1	1	1	1	0	1	1	1	2	0	1	0	1	0	1	1	0.8125	2	0.552653137	428	22.41	24.28
RNA-binding protein 12B-A;RNA-binding protein 12B-B	Rbm12ba;Rbm12bb	Q80YR9;Q66JV4	0	1	1	3	1	0	1	1	1	1	2	2	1	0	0	1	1	3	0.537541444	NA	NA	NA
Tetratricopeptide repeat protein 9C	Ttc9c	Q810A3;Q6P3Y6	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	0.875	2	0.72529553	171	23.5	24.8
Zinc finger protein 592	Znf592	Q8BHZ4	0	1	1	2	0	1	1	3	3	1	2	1	1	0	0	2	1.1875	3	0.698225604	1262	21.88	23.1
Pleckstrin	Plek	Q9JHK5;Q8CAG6	0	1	2	2	0	2	1	2	3	2	1	0	0	2	1	1	1.25	3	0.676271608	350	24.32	26.76
Membrane magnesium transporter 1	Mmgt1	Q8K273	1	1	1	1	0	1	2	1	1	0	2	0	1	0	1	2	0.9375	2	0.563301658	131	23.89	26.72
Endophilin-B2	Sh3glb2	Q8R3V5;Q8R3V5-1;A2AWI7;Q8R3V5-3;A2AWI9	0	1	2	2	1	1	2	0	1	1	1	0	1	0	3	2	1.125	3	0.771246197	400	22.51	24.56
COBW domain-containing protein 1	Cbwd1	Q8VEH6	2	1	1	0	3	1	2	1	1	1	0	0	0	1	1	4	1.1875	4	0.700790435	393	22.69	25.18
Protein BRICK1	Brk1	Q91VR8	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0.75	1	0.812711059	75	23.43	25.09
Protein unc-45 homolog A	Unc45a	Q99KD5;D6RIN1	2	3	2	2	1	1	1	1	2	1	0	0	2	2	0	0	1.25	3	0.667357056	944	21.9	24.19
Lipolysis-stimulated lipoprotein receptor	Lsr	Q99KG5;Q99KG5-2;Q99KG5-3;D3YYU9	0	1	3	2	1	1	1	1	3	1	1	1	0	3	0	0	1.1875	3	0.703310806	594	22.52	23.63
Hsp90 co-chaperone Cdc37-like 1	Cdc37l1	Q9CZP7;Q9CZP7-4;Q9CZP7-3;Q9CZP7-2	2	2	3	2	2	3	2	1	4	0	1	0	2	0	0	1	1.5625	4	0.654430278	335	23.45	24.64
Tax1-binding protein 3	Tax1bp3	Q9DBG9;B1AUD9	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0.75	1	0.829822566	124	22.03	23.67
Activating signal cointegrator 1	Trip4	Q9QXN3;Q9QXN3-2	1	1	2	2	0	1	2	2	1	0	4	0	4	0	4	4	1.75	4	0.62712103	581	23.02	24.77
Gamma-adducin	Add3	Q9QYB5-2;Q9QYB5	1	0	1	2	2	1	0	1	1	0	2	1	1	1	0	1	0.9375	2	0.765258364	706	22.52	24.33
A-kinase anchor protein 12	Akap12	Q9WTQ5;Q9WTQ5-2	1	3	1	2	0	3	3	1	1	0	1	0	2	1	0	1	1.25	3	0.636691534	1684	19.25	20.03
Syntaxin-5	Stx5	Q8K1E0;Q8K1E0-2	2	0	0	0	1	0	1	1	0	0	3	0	0	0	0	3	0.6875	3	0.69918282	355	22.4	24.5
Secernin-2	Scrn2	Q8VCA8	5	12	11	9	5	10	11	11	8	5	10	6	12	5	10	10	8.75	12	0.744735623	425	22.37	23.65
Inhibitor of carbonic anhydrase	Ica;1300017J02Rik	Q9DBD0;D3YY36	14	15	16	13	16	14	16	12	14	14	19	11	16	9	13	13	14.0625	19	0.74465157	700	23.23	25.65
26S proteasome non-ATPase regulatory subunit 13	Psmd13	Q9WVJ2;E9Q5I9	23	23	30	27	25	23	25	24	28	18	26	20	25	21	21	22	23.8125	30	0.744416123	376	23.92	26.37
V-type proton ATPase subunit D	Atp6v1d	P57746;F6XGK5;E9Q0D9	1	1	2	1	1	2	2	0	2	0	3	0	3	0	2	3	1.4375	3	0.843266263	247	23.48	25.74
Ras-related protein Rab-32	Rab32	Q9CZE3	0	0	5	1	0	1	0	1	4	4	0	0	0	3	0	0	1.1875	5	0.703476691	223	23.53	25.82
Death-associated protein kinase 2	Dapk2	Q8VDF3;Q8VDF3-2	2	0	1	0	2	0	2	0	0	1	1	0	0	0	0	0	0.5625	2	0.705108039	370	24.11	26.19
UHRF1-binding protein 1-like	Uhrf1bp1l	A2RSJ4	6	7	5	5	4	5	5	5	7	4	2	5	5	3	2	2	4.5	7	0.745598014	1457	22.51	24.58
Importin subunit alpha-7;Importin subunit alpha	Kpna6	O35345;Q4FJZ2	0	0	1	0	0	0	2	0	0	0	1	0	2	0	1	2	0.5625	2	0.707139401	536	22.64	24.93
SH3 and multiple ankyrin repeat domains protein 3	Shank3	Q4ACU6	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0.25	1	0.708554784	1730	21.28	22.46
Selenocysteine lyase	Scly	Q9JLI6;Q9JLI6-2;F6ZFP8	13	15	16	16	11	13	20	16	13	10	15	11	18	12	16	19	14.625	20	0.746113068	432	22.05	23.89
Probable phospholipid-transporting ATPase IIA	Atp9a	A2AQC3;O70228;Q8C288;Q8C4G3	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0.25	1	0.709772488	1047	24.39	27.03
Serine/Arginine-related protein 53	Rsrc1	Q9DBU6;Q3TGY1;E9Q6P8;Q8BR75	1	2	0	2	1	1	2	0	0	1	1	1	2	1	2	2	1.1875	2	0.535924974	334	21.44	21.66
Peptidyl-prolyl cis-trans isomerase G	Ppig	A2AR02	1	0	2	1	0	1	1	0	0	0	1	0	1	0	0	1	0.5625	2	0.320912936	752	22.06	22.5
Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1	Rps6ka1	F6Q8A4;F6RQA2;Q505N6;P18653;E9PWV3;G3UZI3	1	1	2	0	2	0	0	0	1	1	0	1	0	1	0	0	0.625	2	0.323892512	724	23.96	26.27
MAP kinase-activated protein kinase 2	Mapkapk2	P49138	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0.5	1	0.317292256	386	24.24	25.96
Transmembrane protein 214	Tmem214	Q8BM55;D3Z6S1	1	0	3	4	3	0	4	9	8	0	5	0	0	0	0	0	2.3125	9	0.323337392	687	23.9	26.37
Golgi reassembly-stacking protein 2	Gorasp2	Q99JX3;A2ATI9;Q99JX3-2;A2ATI6;A2ATI8	5	6	7	7	3	6	5	5	7	5	4	7	5	8	5	3	5.5	8	0.749652138	451	21.12	23.2
14-3-3 protein theta	Ywhaq	F6VW30;F6YY69;P68254;P68254-2	12	13	11	13	7	11	14	8	15	14	15	8	13	9	14	17	12.125	17	0.749687408	245	22.59	25.14
26S proteasome non-ATPase regulatory subunit 5	Psmd5	Q8BJY1	1	6	4	4	1	5	3	2	5	1	4	1	4	1	3	4	3.0625	6	0.748953675	504	22.61	25.15
39S ribosomal protein L49, mitochondrial	Mrpl49	Q9CQ40;Q8BTB8	1	2	5	3	1	4	2	3	4	2	5	2	6	2	3	3	3	6	0.749688323	166	24.71	26.11
Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide	Proc	P33587	1	0	3	0	0	1	1	1	1	0	0	0	1	0	0	0	0.5625	3	0.720662414	460	24.01	26.06
Protein odr-4 homolog	Odr4	Q4PJX1;Q4PJX1-3;Q4PJX1-2	1	0	1	0	0	0	0	1	2	0	1	0	0	0	0	1	0.4375	2	0.721533657	447	22.66	24.88
Phosphatidylinositol transfer protein alpha isoform	Pitpna	F6SJE0;P53810	7	9	9	8	5	7	7	4	8	4	5	5	8	5	6	7	6.5	9	0.754216919	271	25.31	27.36
Signal recognition particle 19 kDa protein	Srp19	Q9D104;G5E8T3;Q9D7A6;E9Q8C2	3	3	4	5	2	4	4	2	3	2	3	3	2	2	3	4	3.0625	5	0.754916741	144	23.1	25.17
Ragulator complex protein LAMTOR3	Lamtor3	O88653	5	6	5	6	4	4	6	7	5	5	6	3	5	5	5	6	5.1875	7	0.75433618	124	23.07	26.37
Protein pelota homolog	Pelo	Q80X73	4	4	4	4	2	3	4	4	8	5	5	4	4	4	4	5	4.25	8	0.752929363	385	22.58	24.49
DCC-interacting protein 13-alpha	Appl1	Q8K3H0	3	1	3	2	2	2	3	2	3	1	1	3	1	3	1	1	2	3	0.755054267	707	22.22	24.1
